EpochDate,PredictionDate,Latitude(deg),Longitude(deg),Altitude(m),Velocity(m/s)
1999-12-18T20:02:43.714752Z,1999-12-19T20:02:43.714752Z,-50.277170,-150.674750,696330.65,7587.81
1999-12-18T21:40:47.704224Z,1999-12-19T21:40:47.704224Z,-58.904816,-179.031652,685551.13,7594.12
1999-12-18T21:40:47.705952Z,1999-12-19T21:40:47.705952Z,-58.895992,-179.027728,685450.66,7594.19
1999-12-18T23:18:59.390208Z,1999-12-19T23:18:59.390208Z,-59.266307,156.217129,685085.29,7594.28
1999-12-19T04:13:34.436928Z,1999-12-20T04:13:34.436928Z,-58.886273,82.789245,685731.66,7593.98
1999-12-19T05:51:46.143648Z,1999-12-20T05:51:46.143648Z,-58.883589,58.243461,685792.21,7593.92
1999-12-19T12:24:33.27984Z,1999-12-20T12:24:33.27984Z,-58.781003,-39.890075,686100.44,7593.68
1999-12-20T03:08:18.835584Z,1999-12-21T03:08:18.835584Z,-58.868584,99.134235,686419.47,7593.27
1999-12-20T09:41:05.227872Z,1999-12-21T09:41:05.227872Z,-59.075662,0.832765,686177.97,7593.34
1999-12-20T12:57:28.804608Z,1999-12-21T12:57:28.804608Z,-59.033140,-48.239087,686234.61,7593.33
1999-12-20T19:30:15.930432Z,1999-12-21T19:30:15.930432Z,-58.944137,-146.383047,686811.95,7592.81
1999-12-20T21:08:27.80736Z,1999-12-21T21:08:27.80736Z,-58.915798,-170.912861,687137.43,7592.48
1999-12-21T05:19:26.299488Z,1999-12-22T05:19:26.299488Z,-58.896730,66.359597,687202.09,7592.44
1999-12-21T23:19:35.13216Z,1999-12-22T23:19:35.13216Z,-58.916691,156.327526,687827.67,7591.78
1999-12-22T00:57:46.76976Z,1999-12-23T00:57:46.76976Z,-58.960024,131.756681,687897.51,7591.66
1999-12-23T04:47:05.402976Z,1999-12-24T04:47:05.402976Z,-58.977435,74.443764,688775.88,7590.75
1999-12-24T05:20:00.661632Z,1999-12-25T05:20:00.661632Z,-58.988351,66.228665,689619.22,7589.85
1999-12-24T21:41:57.41088Z,1999-12-25T21:41:57.41088Z,-59.001405,-179.251106,690207.85,7589.23
1999-12-25T04:14:44.045088Z,1999-12-26T04:14:44.045088Z,-59.011205,82.554752,690436.31,7588.99
1999-12-26T04:47:38.818176Z,1999-12-27T04:47:38.818176Z,-59.042811,74.329404,691372.17,7587.99
1999-12-27T05:20:33.567936Z,1999-12-28T05:20:33.567936Z,-59.060881,66.112135,692233.90,7587.08
1999-12-28T02:37:04.851552Z,1999-12-29T02:37:04.851552Z,-59.078525,106.990280,693004.53,7586.26
1999-12-28T04:15:16.470144Z,1999-12-29T04:15:16.470144Z,-59.079708,82.442668,693059.28,7586.20
1999-12-29T01:31:47.643168Z,1999-12-30T01:31:47.643168Z,-59.097422,123.320809,693825.46,7585.38
1999-12-29T01:31:47.644032Z,1999-12-30T01:31:47.644032Z,-59.097422,123.320806,693825.46,7585.38
1999-12-29T01:31:47.649216Z,1999-12-30T01:31:47.649216Z,-59.097945,123.320490,693827.03,7585.38
1999-12-29T04:48:10.879488Z,1999-12-30T04:48:10.879488Z,-59.099927,74.225502,693938.24,7585.27
1999-12-30T05:21:05.194656Z,1999-12-31T05:21:05.194656Z,-59.114719,66.011737,694791.47,7584.36
1999-12-31T05:53:59.476128Z,2000-01-01T05:53:59.476128Z,-59.127427,57.799204,695629.20,7583.47
2000-01-01T03:10:30.45216Z,2000-01-02T03:10:30.45216Z,-59.122523,98.691606,696310.95,7582.76
2000-01-01T04:48:42.15456Z,2000-01-02T04:48:42.15456Z,-59.129523,74.140139,696400.81,7582.66
2000-01-01T22:48:49.724928Z,2000-01-02T22:48:49.724928Z,-59.142056,164.116531,696994.85,7582.03
2000-01-02T05:21:36.067968Z,2000-01-03T05:21:36.067968Z,-59.147145,65.926342,697192.41,7581.82
2000-01-03T04:16:18.345504Z,2000-01-04T04:16:18.345504Z,-59.159691,82.261637,697996.14,7580.97
